new double[] { 0.05, 0.01, 1.02, -0.37, -0.67, -5.55, 12.45, -3.08, 26.81, 444 },
new double[] { 0.06, 0.03, 1.02, 0, -0.73, -1.34, 13.48, -1.46, 26.95, 47 },
new double[] { 0.06, 0.03, 1.01, -0.06, 0.55, -2.81, 13.48, -2.34, 26.07, 26 },
new double[] { 0.06, 0.02, 1.01, -0.06, -1.04, -2.93, 12.74, -2.2, 25.93, 57 },
new double[] { 0.06, 0.02, 1.01, -0.55, -1.65, -3.66, 13.62, -1.9, 26.22, 59 },
new double[] { 0.07, 0.02, 0.99, -0.49, -1.71, -3.23, 12.89, -2.64, 26.66, 42 },
new double[] { 0.07, 0.02, 1.01, -0.12, -1.89, -2.69, 13.04, -3.08, 26.22, 51 },
new double[] { 0.07, 0.02, 1.02, 0.24, -0.43, -3.72, 12.3, -2.34, 27.25, 53 },
new double[] { 0.07, 0.02, 1.03, 0.24, -4.33, -1.34, 12.16, -3.08, 26.81, 43 },
new double[] { 0.07, 0.02, 1.03, 0.37, -2.93, -1.83, 12.45, -2.78, 26.81, 54 },
new double[] { 0.08, 0.03, 1.01, 0.31, -4.09, -0.73, 12.89, -3.22, 26.07, 52 },
new double[] { 0.08, 0.02, 1.02, -0.06, -3.78, -0.85, 12.45, -2.49, 25.63, 51 },
new double[] { 0.08, 0.02, 1.05, -0.12, -9.89, -1.1, 12.89, -2.93, 26.66, 42 },
new double[] { 0.09, 0.02, 1.03, 0.12, -8.42, -0.79, 12.6, -2.93, 25.2, 47 },
new double[] { 0.1, 0.02, 1.05, -0.12, -14.59, -0.85, 11.72, -2.64, 26.37, 53 },
new double[] { 0.13, 0.02, 1, 0, -21.18, -0.92, 12.6, -2.93, 26.07, 57 },
new double[] { 0.15, 0.03, 1, -0.37, -11.47, -1.04, 12.3, -3.52, 25.78, 48 },
new double[] { 0.16, 0.02, 0.99, -0.37, -15.5, -0.55, 12.6, -2.93, 25.78, 53 },
new double[] { 0.17, 0.02, 0.99, 0.43, -17.46, -0.73, 10.55, -2.34, 25.2, 49 },
new double[] { 0.18, 0.02, 1.02, 0, -6.47, -0.92, 11.43, -3.22, 26.37, 47 },
new double[] { 0.2, 0.04, 1.07, -0.92, -25.02, 2.75, 10.99, -3.66, 25.34, 58 },
new double[] { 0.2, -0.01, 0.98, -0.24, -30.03, -0.92, 10.25, -4.39, 25.78, 49 },
new double[] { 0.25, 0.02, 0.98, 0, -21.79, -0.55, 11.43, -4.1, 25.78, 48 },
new double[] { 0.27, 0.03, 1.02, 0.37, -30.76, 3.91, 10.25, -3.22, 24.61, 48 },
new double[] { 0.29, 0.01, 0.96, 0.37, -31.49, 1.04, 8.06, -3.37, 24.46, 47 },
new double[] { 0.32, 0.01, 0.97, -1.59, -20.2, -1.16, 7.47, -4.25, 23.58, 60 },
new double[] { 0.34, 0.01, 0.95, 2.81, -26.73, 4.15, 7.47, -4.25, 23.88, 47 },
new double[] { 0.34, 0, 0.97, -1.83, -14.16, -3.78, 8.2, -4.39, 22.56, 47 },
new double[] { 0.38, 0.02, 0.94, 0.85, -5.07, -0.06, 8.5, -4.69, 24.9, 52 },
new double[] { 0.4, 0.03, 0.95, 1.28, -5.25, 1.28, 7.91, -5.27, 23.73, 48 },
new double[] { 0.39, 0.01, 0.93, 0.43, -12.27, -1.4, 8.2, -3.81, 25.49, 25 },
new double[] { 0.36, 0, 1, -0.61, -10.86, -0.98, 7.32, -4.1, 23.73, 52 },
new double[] { 0.42, 0.02, 0.92, 1.34, -45.41, -0.37, 7.47, -4.83, 23.29, 48 },
new double[] { 0.43, 0.02, 0.93, 6.29, -46.45, 9.34, 6.01, -5.71, 23.58, 51 },
new double[] { 0.45, 0.01, 0.91, 9.58, -19.17, 14.65, 7.03, -4.98, 22.56, 53 },
new double[] { 0.51, 0.01, 0.87, 1.83, 3.11, 3.11, 6.45, -4.39, 22.56, 35 },
new double[] { 0.37, 0.01, 1.12, -5.43, 48.95, -2.75, 5.42, -3.37, 23.29, 55 },
new double[] { 0.46, 0.01, 0.95, 1.46, -53.53, -1.95, 6.59, -4.25, 22.71, 49 },
new double[] { 0.55, 0.02, 0.8, 0.98, -36.19, 1.16, 4.54, -4.83, 22.41, 47 },
new double[] { 0.53, 0, 0.88, 0.67, -25.21, -0.79, 4.54, -4.83, 22.12, 48 },
new double[] { 0.56, 0.01, 0.85, 0.06, -37.9, -1.4, 3.96, -7.18, 20.65, 53 },
new double[] { 0.59, 0.01, 0.85, 0.18, -40.53, -1.59, 3.22, -5.57, 21.39, 47 },
new double[] { 0.63, 0.01, 0.8, 1.46, -41.38, -0.18, 2.05, -4.39, 21.09, 50 },
new double[] { 0.64, 0, 0.81, 0.98, -35.16, -1.1, 0.44, -7.18, 20.36, 52 },
new double[] { 0.71, 0.02, 0.68, 0.24, -29.24, -1.71, 0.59, -5.57, 21.09, 42 },
new double[] { 0.63, -0.03, 0.83, 6.96, -7.02, 5.37, 1.46, -5.57, 21.09, 48 },
new double[] { 0.7, 0.02, 0.74, 1.71, 0.67, 0.67, -0.88, -5.57, 21.09, 26 },
new double[] { 0.73, 0.03, 0.71, -0.98, -13.12, -1.83, 0.59, -5.57, 21.39, 51 },
new double[] { 0.73, -0.01, 0.66, -3.05, -33.94, -0.67, -0.29, -5.86, 21.97, 56 },
new double[] { 0.71, -0.01, 0.77, 1.1, -34.73, 0.37, -0.59, -5.57, 20.8, 50 },
new double[] { 0.77, 0.01, 0.74, 0.55, -8.06, 0, -0.59, -5.86, 21.97, 49 },
new double[] { 0.76, 0.01, 0.77, -6.65, -38.02, -2.2, -1.32, -6.88, 21.24, 54 },
